Round,Round name,Round description,Song,Artist,Album,Song votes,Song voters,Song rank,Song person submitted,Song person submitted comment,Votes and comments
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Amber,311,From Cha,24,10,6th,ThenerB,"Since this round happened to fall on 311 day, had to","Tatami
5
Mooly
Always liked this song; bonus point because it was on the radio when my husband proposed and we always laugh about it ♥️
5
Marina
4
HippyHippyShake
2
Sjr
2
Dina B
2
JJdaPanda
1
Duncan Moreland
1
JustRimmey
1
Terry L.
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Just Can't Get Enough,Depeche Mode,Speak and Spell (Deluxe,17,10,7th,Matthew J. Hobbs,"The 80s were an awesome time to grow up, and we had the best soundtrack. ","JustRimmey
4
Heavy Metal Zebra
2
N2N0
2
Dina B
2
Terry L.
2
JJdaPanda
1
Sjr
1
Duncan Moreland
1
ThenerB
1
Marina
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Particle Man,They Might Be Giants,Flood,17,8,8th,JustRimmey,"TMBG was the soundtrack of my childhood, especially when they were on Tiny Toon Adventures!","Matthew J. Hobbs
Flood was such a great album overall. 
5
Duncan Moreland
3
Dina B
3
N2N0
2
JJdaPanda
1
Tatami
1
Sjr
1
Mooly
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Shake It,Metro Station,Metro Stati,15,9,9th,EJ Gunter,,"Tatami
2
N2N0
2
Dina B
2
ThenerB
2
JustRimmey
2
Terry L.
2
JJdaPanda
1
Sjr
1
Duncan Moreland
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream,15,8,10th,Duncan Moreland,"Remember, don’t mine at night","JJdaPanda
3
EJ Gunter
3
Tatami
2
N2N0
2
Terry L.
2
Sjr
1
ThenerB
1
JustRimmey
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Drops of Jupiter (Tell Me),Train,Drops Of Jupiter,15,8,10th,N2N0,,"Heavy Metal Zebra
3
Sjr
3
Dina B
2
Terry L.
2
EJ Gunter
2
JJdaPanda
1
Tatami
1
JustRimmey
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Hysteria,Def Leppard,Hysteria,14,9,12th,Terry L.,Was 12 years old when this album came out,"Matthew J. Hobbs
Loved this album!
5
Dina B
2
JJdaPanda
1
Tatami
1
Sjr
1
Duncan Moreland
1
JustRimmey
1
Mooly
1
EJ Gunter
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Ripped Pants,Spongebob Squarepants,SpongeBob's Greatest Hit,11,7,13th,Marina,,"JJdaPanda
2
Heavy Metal Zebra
2
Mooly
2
EJ Gunter
2
Sjr
1
Duncan Moreland
1
Matthew J. Hobbs
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,He Could Be the One,Hannah Montana,Hannah Montana 3,10,6,14th,JJdaPanda,,"N2N0
3
ThenerB
2
EJ Gunter
2
Sjr
1
Duncan Moreland
1
JustRimmey
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Hey Sandy,Polaris,Music From The Adventures Of Pete & Pete,9,6,15th,Mooly,,"Heavy Metal Zebra
3
Duncan Moreland
2
JJdaPanda
1
Tatami
1
Sjr
1
ThenerB
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Oops!...I Did It Again,Britney Spears,Oops!... I Did It Agai,35 0,14,16th,JacAttac,Did not vote,"First song I remember hearing on the radio
Marina
5
Terry L.
4
N2N0
3
Sjr
3
EJ Gunter
3
ThenerB
💛
3
JJdaPanda
2
Heavy Metal Zebra
2
Tatami
2
Mooly
2
Duncan Moreland
2
JustRimmey
2
Matthew J. Hobbs
1
Dina B
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Part of Your World,Jodi Benson,The Little Mermaid Special Editi,13 0,10,17th,Kate Booth,Did not vote,"Gave up her entire family AND this voice for a dude she met once while he was concussed… I mean, we’ve all done it! 
JJdaPanda
2
Heavy Metal Zebra
2
Matthew J. Hobbs
2
Tatami
1
Sjr
1
Duncan Moreland
1
Dina B
1
ThenerB
1
JustRimmey
1
Mooly
1""
https://app.musicleague.com/l/fe4049a5bec34a9892e2fd5135a35ad3/f4b9217737f44aadb8b52531d3495a36/,""OPEN"
5,title containing a body part,✋🩷👄🦶💪,Poker Face,Lady Gaga,The Fame,38,14,1st,JustRimmey,,"JJdaPanda
8
rena :)
5
Duncan Moreland
4
Marina
3
Sjr
2
N2N0
2
Dina B
2
Kate Booth
2
Terry L.
2
EJ Gunter
2
Heavy Metal Zebra
2
Matthew J. Hobbs
2
ThenerB
1
Tatami
1
JustRimmey
Would I pick this song, no! Did my son, yep!"
5,title containing a body part,✋🩷👄🦶💪,Baby Got Back,Sir Mix-A-Lot,Mack Dadd,37,14,2nd,ThenerB,,"HippyHippyShake
5
EJ Gunter
5
Matthew J. Hobbs
4
Heavy Metal Zebra
3
Dina B
3
Marina
2
Kate Booth
2
N2N0
2
Duncan Moreland
2
JustRimmey
Can't ignore this banger of a classic!
2
Terry L.
2
JJdaPanda
2
Tatami
2
Sjr
1"
5,title containing a body part,✋🩷👄🦶💪,Heart Of Glass,Blondie,Parallel Line,35,15,3rd,HippyHippyShake,I don’t know how anyone could NOT love this song ,"rena :)
5
Matthew J. Hobbs
4
Marina
3
Kate Booth
3
EJ Gunter
3
Dina B
3
N2N0
3
Terry L.
2
Heavy Metal Zebra
2
Sjr
2
JJdaPanda
1
Tatami
1
JustRimmey
I agree!
1
Duncan Moreland
1
ThenerB
1"
5,title containing a body part,✋🩷👄🦶💪,Groove Is in the Heart,Deee-Lite,World Clique,34,14,4th,Kate Booth,,"HippyHippyShake
5
ThenerB
Love this song so much
5
Matthew J. Hobbs
4
JustRimmey
I WILL DESK DANCE TO THIS SUCKER ALL DAY!!!!
3
Marina
2
N2N0
2
Dina B
2
rena :)
2
Terry L.
2
Tatami
2
Sjr
2
JJdaPanda
1
Heavy Metal Zebra
1
Duncan Moreland
1"
5,title containing a body part,✋🩷👄🦶💪,I Just) Died In Your Arms,Cutting Crew,Broadcast,34,14,5th,N2N0,,"Heavy Metal Zebra
4
HippyHippyShake
3
EJ Gunter
3
Duncan Moreland
3
Kate Booth
3
rena :)
3
Terry L.
3
Sjr
2
ThenerB
2
JJdaPanda
2
Matthew J. Hobbs
2
Dina B
2
JustRimmey
From the opening synth, this earworm will get stuck for a while!
1
Tatami
1"
5,title containing a body part,✋🩷👄🦶💪,Hand in My Pocket - 2015 Remaster,Alanis Morissette,Jagged Little Pill (2015 Remaster,33,14,6th,Terry L.,,"Marina
5
HippyHippyShake
4
N2N0
3
ThenerB
Excellent choice
3
Kate Booth
3
Sjr
2
Heavy Metal Zebra
2
Dina B
2
JustRimmey
Can't say no to God herself!
2
Matthew J. Hobbs
2
rena :)
2
JJdaPanda
1
Duncan Moreland
1
Tatami
1"
5,title containing a body part,✋🩷👄🦶💪,Heart-Shaped Box,Nirvana,In Utero (Deluxe Editi,27,14,7th,Duncan Moreland,,"Sjr
3
rena :)
3
Tatami
3
EJ Gunter
3
Dina B
2
Kate Booth
2
Terry L.
2
N2N0
2
ThenerB
2
Matthew J. Hobbs
1
JJdaPanda
1
Heavy Metal Zebra
1
JustRimmey
I feel like I am the worst fan of alternative and rock-aligned genres, for not liking nirvana as much as I stereotypically should
1
Marina
1"
5,title containing a body part,✋🩷👄🦶💪,Eye of the Tiger,Survivor,Rocky IV,23,11,8th,JJdaPanda,,"N2N0
4
Heavy Metal Zebra
3
Dina B
3
EJ Gunter
3
Sjr
2
Duncan Moreland
2
rena :)
2
Kate Booth
1
Tatami
1
ThenerB
1
Matthew J. Hobbs
1"
5,title containing a body part,✋🩷👄🦶💪,Bette Davis Eyes,Kim Carnes,Mistaken Identit,18,12,9th,Matthew J. Hobbs,,"Terry L.
3
HippyHippyShake
2
Sjr
2
N2N0
2
rena :)
2
Kate Booth
1
JJdaPanda
1
Heavy Metal Zebra
1
Tatami
1
Dina B
1
ThenerB
1
JustRimmey
God, this song is always a great one! Simple and solid!
1"
5,title containing a body part,✋🩷👄🦶💪,Legs (2008 Remaster),ZZ Top,Eliminator,18,10,10th,Dina B,,"Matthew J. Hobbs
4
Heavy Metal Zebra
3
Duncan Moreland
2
Terry L.
2
EJ Gunter
2
Kate Booth
1
JJdaPanda
1
Sjr
1
N2N0
1
ThenerB
1"
5,title containing a body part,✋🩷👄🦶💪,Hand Of Blood,Bullet For My Valentine,The Poi,18,7,11th,Heavy Metal Zebra,,"JustRimmey
THIS IS MY KIND OF BANGER =-) I know that metalcore is not for everyone, but for some reason, it helps calm my neurospicyness and anxiety!
5
Marina
4
Tatami
3
Sjr
2
Duncan Moreland
2
JJdaPanda
1
ThenerB
1"
5,title containing a body part,✋🩷👄🦶💪,HandClap,Fitz and The Tantrums,Fitz and The Tantrums (Deluxe Editi,17,10,12th,Sjr,,"Dina B
3
Terry L.
3
Kate Booth
2
N2N0
2
ThenerB
Love Fitz and The Tantrums 
2
JJdaPanda
1
Heavy Metal Zebra
1
HippyHippyShake
1
Tatami
1
JustRimmey
Children ruined this song for me, it is so good!
1"
5,title containing a body part,✋🩷👄🦶💪,Airhead,Honey Revenge,Retrovisi,15,8,13th,Marina,,"JustRimmey
I am OBSESSED with Honey Revenge.  They are getting a lot of play time with South Arcade and Greywind in my normal music rotation!
4
Tatami
3
Sjr
2
Terry L.
2
JJdaPanda
1
Duncan Moreland
1
Dina B
1
ThenerB
1"
5,title containing a body part,✋🩷👄🦶💪,Out of My Head (feat. Trey Songz),Lupe Fiasco,Laser,14,8,14th,Tatami,,"EJ Gunter
3
Kate Booth
2
HippyHippyShake
2
Duncan Moreland
2
ThenerB
Lupe!
2
JJdaPanda
1
N2N0
1
JustRimmey
I vibe with this so hard!
1"
5,title containing a body part,✋🩷👄🦶💪,IN YOUR EYES,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,13,8,15th,EJ Gunter,,"Tatami
3
Kate Booth
2
HippyHippyShake
2
Duncan Moreland
2
JJdaPanda
1
Heavy Metal Zebra
1
ThenerB
1
JustRimmey
This was new to me, I was a big fan of the beat and the vibe!
1"
5,title containing a body part,✋🩷👄🦶💪,Lips Of An Angel,Hinder,Extreme Behavior,10,7,16th,rena :),,"Marina
4
JJdaPanda
1
Tatami
1
Sjr
1
Duncan Moreland
1
JustRimmey
I do not like this song whatsoever. My mother absolutely loved it, and I will always give it a thumbs up in her memory whenever people submit it!
1
Terry L.
1""
https://app.musicleague.com/l/fe4049a5bec34a9892e2fd5135a35ad3/a267f951890641e0ba0fbd15fb5cddb1/,""OPEN"
4,single word title,as simple as it gets,Creep,Radiohead,Pablo Hone,29,11,1st,EJ Gunter,,"JJdaPanda
6
Matthew J. Hobbs
4
Heavy Metal Zebra
3
N2N0
3
Duncan Moreland
3
Sjr
2
Dina B
2
JustRimmey
2
Mooly
2
ThenerB
1
Marina
1"
4,single word title,as simple as it gets,Jump - 2015 Remaster,Van Halen,1984 (Remastered,29,11,2nd,Dina B,,"Mooly
5
rena :)
4
Matthew J. Hobbs
4
N2N0
3
Terry L.
3
Heavy Metal Zebra
2
Sjr
2
Duncan Moreland
2
EJ Gunter
2
JJdaPanda
1
ThenerB
1"
4,single word title,as simple as it gets,Poison,Bell Biv DeVoe,Poi,29,11,3rd,Mooly,,"Duncan Moreland
4
ThenerB
Oh I love this song so much, well done
4
HippyHippyShake
3
JustRimmey
3
Matthew J. Hobbs
3
Terry L.
3
EJ Gunter
3
Sjr
2
Dina B
2
JJdaPanda
1
N2N0
1"
4,single word title,as simple as it gets,Waterfalls,TLC,Crazysexycool,28,13,4th,Terry L.,,"Mooly
4
Dina B
3
HippyHippyShake
3
Heavy Metal Zebra
3
EJ Gunter
3
N2N0
3
Matthew J. Hobbs
2
Sjr
2
JJdaPanda
1
JustRimmey
1
ThenerB
1
Marina
1
Duncan Moreland
1"
4,single word title,as simple as it gets,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,Back To Black (Deluxe Editi,27,12,5th,rena :),a ✨🫶🏻classic🫶🏻✨,"ThenerB
Best version hands down
4
Marina
4
N2N0
3
EJ Gunter
3
Sjr
2
Duncan Moreland
2
Dina B
2
JustRimmey
2
Matthew J. Hobbs
2
JJdaPanda
1
Heavy Metal Zebra
1
HippyHippyShake
1"
4,single word title,as simple as it gets,She,Green Day,Dookie,25,12,6th,JustRimmey,,"HippyHippyShake
5
Heavy Metal Zebra
4
Sjr
2
N2N0
2
ThenerB
💪
2
Matthew J. Hobbs
2
Mooly
2
Marina
2
JJdaPanda
1
Duncan Moreland
1
Dina B
1
Terry L.
1"
4,single word title,as simple as it gets,Fancy,Reba McEntire,"Reba McEntire's Greatest Hits, Volume Tw",24,11,7th,HippyHippyShake,,"rena :)
4
JustRimmey
4
Terry L.
4
Sjr
3
Duncan Moreland
2
Dina B
2
JJdaPanda
1
Heavy Metal Zebra
1
N2N0
1
ThenerB
1
Matthew J. Hobbs
1"
4,single word title,as simple as it gets,Santeria,Sublime,Sublime,23,12,8th,Sjr,,"rena :)
4
Mooly
3
EJ Gunter
3
HippyHippyShake
2
Duncan Moreland
2
Dina B
2
Terry L.
2
JJdaPanda
1
Heavy Metal Zebra
1
ThenerB
1
JustRimmey
1
Marina
1"
4,single word title,as simple as it gets,Complicated,Avril Lavigne,Let G,23,12,9th,N2N0,,"JJdaPanda
3
Heavy Metal Zebra
3
Marina
3
Dina B
2
rena :)
2
JustRimmey
2
Terry L.
2
EJ Gunter
2
Sjr
1
Duncan Moreland
1
ThenerB
1
Matthew J. Hobbs
1"
4,single word title,as simple as it gets,Nonsense,Sabrina Carpenter,emails i can't send,23,9,10th,JJdaPanda,,"HippyHippyShake
5
rena :)
4
Marina
4
N2N0
2
Dina B
2
JustRimmey
2
Terry L.
2
ThenerB
1
Matthew J. Hobbs
1"
4,single word title,as simple as it gets,Xanadu,Olivia Newton-John,Xanadu,12,7,11th,Matthew J. Hobbs,,"Mooly
3
N2N0
2
Terry L.
2
EJ Gunter
2
JJdaPanda
1
Heavy Metal Zebra
1
ThenerB
Nice
1"
4,single word title,as simple as it gets,Creature,LANDMVRKS,The Darkest Place I've Ever Bee,10,7,12th,Heavy Metal Zebra,,"Marina
3
JustRimmey
2
JJdaPanda
1
Sjr
1
Duncan Moreland
1
ThenerB
1
Terry L.
1"
4,single word title,as simple as it gets,Blue (feat. Captain Rock),Swervy,Undercover Angel,10,7,12th,Marina,,"Heavy Metal Zebra
3
JustRimmey
2
JJdaPanda
1
Sjr
1
Duncan Moreland
1
Matthew J. Hobbs
1
Terry L.
1"
4,single word title,as simple as it gets,uévelo,Kali Uchis,Muével,9,5,14th,Duncan Moreland,,"Marina
3
Dina B
2
ThenerB
Oh I like it!
2
JJdaPanda
1
HippyHippyShake
1"
4,single word title,as simple as it gets,Numb,Elderbrook,Numb,6,6,15th,ThenerB,This track has a hold on me like few others ,"JJdaPanda
1
Sjr
1
Duncan Moreland
1
JustRimmey
1
Mooly
1
EJ Gunter
1"
4,single word title,as simple as it gets,Landslide,Fleetwood Mac,Fleetwood Mac,32 0,12,16th,[Left the league],Did not vote,"rena :)
6
EJ Gunter
5
N2N0
4
Mooly
3
Terry L.
3
HippyHippyShake
2
Sjr
2
Dina B
2
Matthew J. Hobbs
2
JJdaPanda
1
Heavy Metal Zebra
1
Duncan Moreland
1"
4,single word title,as simple as it gets,Hypnotized (feat. Ellie Goulding),Anyma,The End Of Gene,9 0,8,17th,Tatami,Did not vote,"JustRimmey
2
JJdaPanda
1
Heavy Metal Zebra
1
HippyHippyShake
1
Sjr
1
ThenerB
👍
1
Matthew J. Hobbs
1
Mooly
1"
4,single word title,as simple as it gets,PAIN,King Princess,PAIN,12 0,7,18th,JacAttac,Did not vote,"Sjr
2
Duncan Moreland
2
Dina B
2
ThenerB
Cool
2
Marina
2
JJdaPanda
1
HippyHippyShake
1""
https://app.musicleague.com/l/fe4049a5bec34a9892e2fd5135a35ad3/137c9e8975fa4a3197f47a322f3df86d/,""OPEN"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",I'm Gonna Be (500 Miles),The Proclaimers,Sunshine on Leith,37,14,1st,N2N0,,"JJdaPanda
10
Tatami
4
Heavy Metal Zebra
3
Terry L.
3
Sjr
3
Mooly
3
Matthew J. Hobbs
2
JustRimmey
2
rena :)
2
EJ Gunter
1
Marina
1
HippyHippyShake
1
Duncan Moreland
1
ThenerB
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",6 Foot 7 Foot,Lil Wayne,Tha Carter IV (Complete Editi,32,10,2nd,Tatami,,"Mooly
6
EJ Gunter
5
Marina
5
HippyHippyShake
4
ThenerB
3
JustRimmey
3
Dina B
2
Matthew J. Hobbs
2
Sjr
1
Terry L.
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",One,Metallica,…And Justice for All (Remastered,30,10,3rd,Heavy Metal Zebra,,"Duncan Moreland
5
rena :)
5
Terry L.
4
Marina
4
Sjr
3
Dina B
3
Mooly
2
EJ Gunter
2
ThenerB
1
JustRimmey
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",3005,Childish Gambino,Because the Internet,28,11,4th,Dina B,,"JustRimmey
4
Marina
4
N2N0
3
ThenerB
3
Corgi
3
EJ Gunter
3
Heavy Metal Zebra
2
HippyHippyShake
2
Duncan Moreland
2
Matthew J. Hobbs
1
Terry L.
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",Summer Of '69,Bryan Adams,Reckless (30th Anniversary / Deluxe Editi,25,8,5th,Terry L.,,"rena :)
6
Heavy Metal Zebra
4
N2N0
3
Dina B
3
Matthew J. Hobbs
3
EJ Gunter
3
Sjr
2
ThenerB
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",300 M.P.H. Torrential Outpour Blues,The White Stripes,Icky Thump,23,9,6th,HippyHippyShake,I love this whole album front to back ,"Marina
6
Mooly
4
Duncan Moreland
3
Matthew J. Hobbs
3
N2N0
2
Terry L.
2
Dina B
1
ThenerB
1
EJ Gunter
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",8 (JANGWONYOUNG Solo),IVE,REVIVE+,18,8,7th,ThenerB,"And left no crumbs… one of my faves from their latest album, definitely a banger","HippyHippyShake
6
N2N0
3
JJdaPanda
2
Tatami
2
Mooly
2
Heavy Metal Zebra
1
Matthew J. Hobbs
1
EJ Gunter
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",TenTwentyTen,Generationals,ActorCaster,15,8,8th,Matthew J. Hobbs,,"Mooly
6
Sjr
2
ThenerB
New to me, like it 👍
2
Heavy Metal Zebra
1
Duncan Moreland
1
JustRimmey
1
Terry L.
1
EJ Gunter
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",pg.4 a picture of three hedges,julie,pg.4 a picture of three hedges/through your window,14,7,9th,Duncan Moreland,,"Tatami
3
Marina
3
Sjr
2
JustRimmey
2
Corgi
2
Heavy Metal Zebra
1
N2N0
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",212,Azealia Banks,Broke with Expensive Taste,13,8,10th,Mooly,"Say what you will about Azealia Banks, bitch knows how to serve cunt 💅","HippyHippyShake
4
N2N0
2
Dina B
2
Duncan Moreland
1
ThenerB
1
Matthew J. Hobbs
1
Terry L.
1
EJ Gunter
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",Seventy Times 7,Brand New,Your Favorite Weap,13,7,11th,JustRimmey,,"Heavy Metal Zebra
3
Sjr
2
Duncan Moreland
2
Dina B
2
Matthew J. Hobbs
2
HippyHippyShake
1
ThenerB
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",Cloud 9,Megan Moroney,Cloud 9,12,8,12th,rena :),,"Terry L.
3
Sjr
2
Dina B
2
N2N0
1
ThenerB
Normally not my scene but this one got a full play through
1
JustRimmey
1
Matthew J. Hobbs
1
EJ Gunter
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",2,Life After Youth,2,12,5,13th,Marina,,"Duncan Moreland
5
Tatami
3
Sjr
2
Heavy Metal Zebra
1
ThenerB
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",1955,Hilltop Hoods,"Drinking From The Sun, Walking Under Stars Restru",11,7,14th,Sjr,,"ThenerB
Hadn’t heard it, cool 👍
2
JustRimmey
2
Matthew J. Hobbs
2
Terry L.
2
N2N0
1
Dina B
1
EJ Gunter
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",100 Bad Days,AJR,Neotheater,10,7,15th,JJdaPanda,,"Tatami
2
Sjr
2
JustRimmey
2
Heavy Metal Zebra
1
N2N0
1
ThenerB
1
Matthew J. Hobbs
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",$106,Oranj Goodman,Medicine,5,2,16th,EJ Gunter,🥳🥳🥳,"Tatami
3
Duncan Moreland
2"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",BETON.HOF1,Beton.Hofi,INTERREGNU,3,2,17th,Corgi,,"Tatami
2
Heavy Metal Zebra
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",7 Things - Single Version,Miley Cyrus,Breakout,53 0,12,18th,[Left the league],Did not vote,"Corgi
19
JJdaPanda
10
rena :)
SO
GOOD !!!
6
N2N0
3
Matthew J. Hobbs
3
Terry L.
3
Dina B
2
JustRimmey
2
EJ Gunter
2
Heavy Metal Zebra
1
Sjr
1
ThenerB
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value",7,Prince,[Love Symbol],33 0,11,19th,Kate Booth,Did not vote,"HippyHippyShake
6
Tatami
5
Dina B
5
JustRimmey
4
Heavy Metal Zebra
3
N2N0
2
Duncan Moreland
2
ThenerB
2
Matthew J. Hobbs
2
Mooly
1
EJ Gunter
1"
3,title containing a number,"counting up, counting down, on cloud 9 or like 1,2,3 you can count on me , favorite song with any numerical value","1, 2, 3, 4",Plain White T's,Big Bad World,21 0,10,20th,JacAttac,Did not vote,"There’s only 1 thing 2 do, 3 words 4 you, I love youuuu
rena :)
a gooooodieeee
5
Terry L.
3
JJdaPanda
2
Heavy Metal Zebra
2
Sjr
2
N2N0
2
ThenerB
2
Dina B
1
EJ Gunter
1
Marina
1""
https://app.musicleague.com/l/fe4049a5bec34a9892e2fd5135a35ad3/2eedc693c0fd4b92bff7e9c468502270/,""OPEN"
2,women do it best 🫶🏻,fav song by a female artist !,Bad Romance,Lady Gaga,The Fame Monster (Deluxe Editi,39,15,1st,JacAttac,,"JJdaPanda
4
ThenerB
4
[Left the league]
4
Sjr
4
Tatami
3
Marina
3
Heavy Metal Zebra
3
Terry L.
3
N2N0
2
Matthew J. Hobbs
2
Mooly
2
Duncan Moreland
2
[Left the league]
1
Dina B
1
JustRimmey
This song was slightly ruined for me when my kids first learned they could ask for non-kids music on our alexa devices! However, with everything being more mellow or laid back leading into this, we may be approaching banger territory!
1"
2,women do it best 🫶🏻,fav song by a female artist !,You Know I'm No Good,Amy Winehouse,Back To Black (Deluxe Editi,37,14,2nd,ThenerB,"So many great artists to choose from and so many favorites, but this is the one that ended up here","Duncan Moreland
5
Mooly
5
Tatami
4
Matthew J. Hobbs
4
HippyHippyShake
4
Marina
3
Sjr
2
[Left the league]
2
JacAttac
2
N2N0
2
JJdaPanda
1
Terry L.
1
JustRimmey
Gone too soon! I have to get up and move and dance any time I hear this song! It is definitely a bop. Is it a banger? Still thinking about it!
1
Dina B
1"
2,women do it best 🫶🏻,fav song by a female artist !,Unwritten,Natasha Bedingfield,Unwritte,33,13,3rd,N2N0,,"Corgi
10
Marina
3
Terry L.
3
Sjr
3
Heavy Metal Zebra
2
Tatami
2
Matthew J. Hobbs
2
[Left the league]
2
JacAttac
2
JJdaPanda
1
[Left the league]
1
ThenerB
1
JustRimmey
I love this song, and sing along loudly (and poorly) whenever I hear it.
1"
2,women do it best 🫶🏻,fav song by a female artist !,Ain't Nobody,Chaka Khan,"Epiphany: The Best of Chaka Khan, Vol. 1",30,13,4th,Mooly,,"HippyHippyShake
4
Tatami
3
[Left the league]
3
Heavy Metal Zebra
3
Terry L.
3
Dina B
3
JacAttac
2
JustRimmey
Chaka doesn't get enough love these days. BANGER! Certified to make me dance!
2
Sjr
2
Duncan Moreland
2
JJdaPanda
1
[Left the league]
1
ThenerB
1"
2,women do it best 🫶🏻,fav song by a female artist !,I'm with You,Avril Lavigne,Let G,30,11,5th,Heavy Metal Zebra,,"Corgi
10
Terry L.
4
Marina
3
JJdaPanda
2
N2N0
2
[Left the league]
2
JacAttac
2
[Left the league]
2
ThenerB
1
JustRimmey
I love this song so much. But I ask myself, is it a banger? And then I find myself thinking about the old Avril Lavigne clone conspiracy theory, and then I think about whatever happened to my Avril poster I had in college. And then I decided this is banger-adjacent enough for me!
1
Matthew J. Hobbs
1"
2,women do it best 🫶🏻,fav song by a female artist !,Uninvited,Alanis Morissette,City of Angels (Music from the Motion Picture,28,11,6th,HippyHippyShake,Truly one of the best songs written for a movie of all time. ,"Duncan Moreland
5
N2N0
3
Dina B
3
JustRimmey
Ok, I complained about slowness of other songs, and me questioning the banger-nature of them. What takes this to the next level (aside from being recorded by God herself) is how this musically builds and crescendos in ways that some of the earlier songs in the playlist did not.
3
Matthew J. Hobbs
3
[Left the league]
3
Marina
3
Sjr
2
JJdaPanda
1
ThenerB
1
JacAttac
1"
2,women do it best 🫶🏻,fav song by a female artist !,Love at First Sight,Kylie Minogue,Fever,24,14,7th,[Left the league],,"ThenerB
4
Tatami
3
Mooly
3
Dina B
2
JustRimmey
I FORGOT ABOUT THIS SONG!!!!! I'll certify this as a banger.
2
N2N0
2
JJdaPanda
1
Heavy Metal Zebra
1
[Left the league]
1
Sjr
1
Terry L.
1
Duncan Moreland
1
Matthew J. Hobbs
1
JacAttac
1"
2,women do it best 🫶🏻,fav song by a female artist !,Gypsy,Fleetwood Mac,Greatest Hit,24,13,8th,Dina B,,"N2N0
3
Marina
3
Matthew J. Hobbs
3
Heavy Metal Zebra
2
Tatami
2
JacAttac
2
Mooly
2
Terry L.
2
Sjr
1
JustRimmey
Stevie's voice is like buttah! I think this is in more bop than banger territory.
1
[Left the league]
1
JJdaPanda
1
[Left the league]
1"
2,women do it best 🫶🏻,fav song by a female artist !,Bulletproof,La Roux,La Roux,20,13,9th,Sjr,,"Matthew J. Hobbs
3
[Left the league]
2
N2N0
2
Tatami
2
JustRimmey
This song lives rent free in my head for days whenever I hear it.  So, BANGER STATUS ACHIEVED!!!
2
JacAttac
2
JJdaPanda
1
Heavy Metal Zebra
1
[Left the league]
1
Mooly
1
Duncan Moreland
1
Dina B
1
ThenerB
1"
